"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"ZIP 20746 (Suitland, MD)","2361","Residential building construction","All establishments","All establishments","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","2361","Residential building construction","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","2381","Foundation, structure, and building exterior contractors","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","2382","Building equipment contractors","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","2389","Other specialty trade contractors","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","4411","Automobile dealers","All establishments","All establishments","2023","11","N","N","N"
"ZIP 20746 (Suitland, MD)","4411","Automobile dealers","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","4411","Automobile dealers","All establishments","Establishments with 50 to 99 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","4413","Automotive parts, accessories, and tire stores","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","4451","Grocery stores","All establishments","All establishments","2023","17","N","N","N"
"ZIP 20746 (Suitland, MD)","4451","Grocery stores","All establishments","Establishments with less than 5 employees","2023","10","N","N","N"
"ZIP 20746 (Suitland, MD)","4451","Grocery stores","All establishments","Establishments with 5 to 9 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","4451","Grocery stores","All establishments","Establishments with 10 to 19 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","4453","Beer, wine, and liquor stores","All establishments","All establishments","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","4453","Beer, wine, and liquor stores","All establishments","Establishments with less than 5 employees","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","4471","Gasoline stations","All establishments","All establishments","2023","7","N","N","N"
"ZIP 20746 (Suitland, MD)","4471","Gasoline stations","All establishments","Establishments with less than 5 employees","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","4542","Vending machine operators","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","4841","General freight trucking","All establishments","All establishments","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","4841","General freight trucking","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","5221","Depository credit intermediation","All establishments","All establishments","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","5242","Agencies, brokerages, and other insurance related activities","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","5242","Agencies, brokerages, and other insurance related activities","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","5311","Lessors of real estate","All establishments","All establishments","2023","14","N","N","N"
"ZIP 20746 (Suitland, MD)","5311","Lessors of real estate","All establishments","Establishments with less than 5 employees","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","5311","Lessors of real estate","All establishments","Establishments with 5 to 9 employees","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","5311","Lessors of real estate","All establishments","Establishments with 10 to 19 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","5312","Offices of real estate agents and brokers","All establishments","All establishments","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","5312","Offices of real estate agents and brokers","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","5313","Activities related to real estate","All establishments","All establishments","2023","10","N","N","N"
"ZIP 20746 (Suitland, MD)","5313","Activities related to real estate","All establishments","Establishments with less than 5 employees","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","5313","Activities related to real estate","All establishments","Establishments with 5 to 9 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","5321","Automotive equipment rental and leasing","All establishments","All establishments","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","5411","Legal services","All establishments","All establishments","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","5411","Legal services","All establishments","Establishments with less than 5 employees","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","5412","Accounting, tax preparation, bookkeeping, and payroll services","All establishments","All establishments","2023","9","N","N","N"
"ZIP 20746 (Suitland, MD)","5412","Accounting, tax preparation, bookkeeping, and payroll services","All establishments","Establishments with less than 5 employees","2023","7","N","N","N"
"ZIP 20746 (Suitland, MD)","5413","Architectural, engineering, and related services","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","5415","Computer systems design and related services","All establishments","All establishments","2023","16","N","N","N"
"ZIP 20746 (Suitland, MD)","5415","Computer systems design and related services","All establishments","Establishments with less than 5 employees","2023","13","N","N","N"
"ZIP 20746 (Suitland, MD)","5416","Management, scientific, and technical consulting services","All establishments","All establishments","2023","9","N","N","N"
"ZIP 20746 (Suitland, MD)","5416","Management, scientific, and technical consulting services","All establishments","Establishments with less than 5 employees","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","5419","Other professional, scientific, and technical services","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","5617","Services to buildings and dwellings","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","5617","Services to buildings and dwellings","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","6211","Offices of physicians","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","6211","Offices of physicians","All establishments","Establishments with 10 to 19 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","6212","Offices of dentists","All establishments","All establishments","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","6212","Offices of dentists","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","6213","Offices of other health practitioners","All establishments","All establishments","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","6213","Offices of other health practitioners","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","6214","Outpatient care centers","All establishments","All establishments","2023","6","N","N","N"
